475196692807811074,1443.326361570873,True,153.46852897524568,4,4,0
406232897620803584,1140.2533316977167,True,200.39070339885544,0,4,0
761373330187354113,1931.6810916301783,True,168.2985539947453,10,0,0
580222076221259778,1312.7625089229546,True,269.4026156184607,0,2,0
335541600459685889,1547.4428663438139,True,202.51194444541215,2,2,0
685809631616040962,1370.4551322872271,True,117.0898239290683,6,10,0
469184489994846214,1401.051263152389,True,142.77009117270075,4,8,0
200287054955806721,1945.7559658741934,True,159.1349395223245,11,0,0
711288565891596342,1439.4387707077294,True,122.48816164640259,8,9,0
846719995589296168,1370.289433999057,True,168.4852780730507,2,8,0
740668265780609135,1519.4693346086526,True,153.54188034681258,4,4,0
